PALABRA,FONEMA,TRADUCCIÓN
a,ei,"a, un, una, un tal, una tal"
ability,əbɪlɪtɪ,Habilidad
able,eɪbl,"Capaz, poder"
abortion,əˈbɔːʃən,aborto
about,əˈbaʊt,"Acerca de, sobre, alrededor de"
above,əˈbʌv(eabav),"Por encima de, sobre; antes"
abroad,əˈbrɔːd,"Extranjero, fuera"
absence,ˈæbsəns,"Ausencia, ausente"
absolute,ˈæbsəluːt,"Absoluto, completo"
absolutely,ˈæbsəluːtlɪ,"Totalmente, absolutamente; eso mismo (yes!)"
absorb,əbˈzɔːb,absorber
abstract,ˈæbstrækt,abstracto
abuse,əˈbjuːz,abusar
academic,ækəˈdemɪk,"Académico, teórico"
accelerate,ækˈseləreɪt,acelerar
accent,ˈæksənt,"Acento,énfasis, acentuar"
accept,əksept,aceptar
acceptable,əkˈseptəbl,aceptable
acceptance,əkˈseptəns,aceptación
access,ˈækses,"Acceso, entrada"
accessible,ækˈsesebl,accesible
accident,ˈæksɪdənt,accidente
accommodate,əˈkɒmədeɪt,"Hospedar, acomodar"
accompany,əˈkʌmpənɪ,"Acompañar, tocar con (música)"
accomplish,əˈkʌmplɪʃ,"Logar, conseguir"
accomplishment,əˈkʌmplɪʃmənt,"Logro, cumplimiento"
according,əˈkɔːdɪŋ,"Según, de acuerdo"
account,əˈkaʊnt,"Cuenta, reporte"
accountability,əˌkaʊntəˈbɪlətɪ,"Responsabilidad, rendición de cuentas"
accounting,əˈkaʊntɪŋ,contabilidad
accuracy,ˈækjʊrəsɪ,"Precisión, exactitud"
accurate,ˈækjʊrɪt,"Preciso, exacto; riguroso, acertado"
accurately,ˈækjʊrɪtlɪ,"Exactamente, con exactitud"
accusation,ækjʊˈzeɪʃən,acusación
accuse,əˈkjuːz,"Acusar,echar la culpa"
achieve,əˈtʃiːv(a-chiv),lograr
achievement,əˈtʃiːvmənt,"Logro,éxito"
acid,ˈæsɪd,ácido
acknowledge,əkˈnɒlɪdʒ,"Agradecer, admitir, reconocer"
acquire,əˈkwaɪəʳ,adquirir
acquisition,ækwɪˈzɪʃən,"Adquisición, compra"
across,əˈkrɒs,"Que cruza, a través de"
act,ækt,"Actuar, acto"
action,ækʃən,acción
active,ˈæktɪv,"Activo, en uso"
actively,æktɪvlɪ,activamente
activist,ˈæktɪvɪst,activista
activity,ækˈtɪvɪtɪ,actividad
actor,ˈæktəʳ,actor
actress,ˈæktres,actriz
actual,ˈæktjʊəl,"Actual, real"
actually,æktjʊəlɪ,En realidad
ad,æd,"Anuncio, comercial"
adapt,əˈdæpt,"Adaptar, adecuarse"
add,æd,"Sumar, agregar"
added,ˈædid,añadido
addition,əˈdɪʃən,adición
additional,əˈdɪʃənl,adicional
address,əˈdres,dirección
adequate,ˈadekwit,"Adecuada, apto"
adjust,əˈdʒʌst,ajustar
adjustment,əˈdʒʌstmənt,"Ajuste, modificación"
administer,ədˈmɪnɪstəʳ,administrar
administration,ədˌmɪnɪsˈtreɪʃən,administración
administrative,ədˈmɪnɪstrətɪv,administrativo
administrator,ədˈmɪnɪstreɪtəʳ,"Administrador, gerente"
admire,ədˈmaɪəʳ(edmaier),admirar
admission,ədˈmɪʃən,Admisión
admit,ədˈmɪt,"Confesar, admitir"
adolescent,ædəʊˈlesnt,adolecente
adopt,əˈdɒpt,adoptar
adoption,əˈdɒpʃən,adopción
adult,ædʌlt,adulto
advance,ədˈvɑːns,avanzar
advanced,ədˈvɑːnst,avanzado
advantage,dˈvɑːntidʒ,ventaja
adventure,ədˈventʃəʳ,aventure
advertising,ˈædvətaɪzɪŋ,"Publicidad, propaganda"
advice,edˈvaɪs,consejo
advise,edˈvaɪz,aconsejar
adviser,ədˈvaɪzəʳ,"Asesor, consejero"
advocate,ˈædvəkɪt,"Defensor, abogado"
aesthetic,iːsˈθetɪk,"Estética, estético"
affair,əˈfɛəʳ,"Aventura, asunto"
affect,ə-fekt,afectar
afford,əˈfɔːd,permitirse
afraid,əˈfreɪd,temer
African,ˈafrikən,africano
African-Americanæfrɪkənəˈmerɪkən,,afroamericano
after,ɑːftəʳ,Después
afternoon,ˈɑːftəˈnuːn,tarde
afterward,ˈaftərwərd(afterword),"Después, más tarde"
again,əˈgen,"De nuevo, otra vez"
against,əˈgenst,Estar en contra de
age,eɪdʒ,"Edad, era"
agency,eɪdʒənsɪ,agencia
agenda,əˈdʒendə(ayénda),agenda
agent,eyent,agente
aggression,əˈɡreʃnn,agresión
aggressive,əˈgresɪv,agresivo
ago,əˈgəʊ,Hace
agree,əˈgriː,"Estar de acuerdo, aceptar"
agreement,ə(a)griːmənt,acuerdo
agricultural,ægrɪˈkʌltʃərəl,agrícola
agriculture,ˈægrɪkʌltʃəʳ,agricultura
ah,,interj
ahead,əˈhed,"Delante, adelante de"
aid,eɪd,"Ayuda, auxiliar"
aide,eɪd,auxiliar
AIDS,Ei-ai- di- es,SIDA
aim,Eim,"Apuntar, objetivo"
air,ɛəʳ,Aire
aircraft,ˈɛəkrɑːft,avión
airline,ˈɛəlaɪn,aerolínea
airplane,ˈɛəpleɪn,aeroplano
airport,ˈɛəpɔːt,aeropuerto
aisle,aɪl,pasillo
alarm,əˈlɑːm(elárm),alarma
alien,ˈeɪlɪən,"Alienígena, extraterrestre"
alike,əˈlaɪk,parecido
alive,əˈlaɪv,Vivo
all,ɔːl,"Todo, entero"
allegation,ælɪˈgeɪʃən,"Alegación, alegato"
alleged,əˈlejd,"Presunto, supuesto; presunto (acusado)"
allegedly,əˈlejidlē,"Presuntamente, supuestamente"
alley,áli,callejón
alliance,əˈlīəns (álaiens),alianza
allow,əˈlaʊ,"Permitir, dejar"
ally,alaí,aliado
almost,ɔːlməʊst,Casi
alone,əˈləʊn(aloún),solo
along,əˈlɒŋ,A lo largo
alongside,əˈlɒŋˈsaɪd,Junto a
already,/ɔːlˈredɪ,Ya
also,ɔːlsəʊ(olso),"También, además"
alter,ˈɒltəʳ,"Cambiar, alterar"
alternative,ɒlˈt3ːnətɪv,"Alternativo, alternativa"
although,ɔːlˈðəʊ,aunque
altogether,ˌɔːltəˈɡeðə(r),completamente
aluminum,əˈluːmɪnəm,aluminio
always,ɔːlweɪz,Siempre
AM,Ei-em,AM
amazing,əˈmeɪzɪŋ,increíble
ambassador,amˈbasədər,embajador
ambition,æmˈbɪʃən,ambición
ambitious,æmˈbɪʃəs,ambicioso
amendment,əˈmendmənt,"Enmienda, corrección"
American,əˈmerikən,americano
amid,əˈmɪd,"Entre, en medio de"
among,əˈmʌŋ,Entre
amount,əˈmaʊnt,"Cantidad, monto"
analysis,əˈnælisiːz,análisis
analyst,ˈænəlɪst,analista
analyze,ˈænəlaɪz,analizar
ancestor,ˈænsestəʳ,antepasado
ancient,eɪnʃənt(einchen),prehistórico
and,ən,y
and/or,,Y/o
angel,ˈeɪndʒəl,ángel
anger,ˈæŋgəʳ,"Ira, enfurecer"
angle,engl,ángulo
angry,ˈæŋgrɪ,"Enfadado, rabioso"
animal,ænɪməl,animal
ankle,ˈæŋkl,tobillo
anniversary,ænɪˈv3ːsərɪ,aniversario
announce,əˈnaʊns,anunciar
announcement,əˈnaʊnsmənt,anuncio
annual,ˈænjʊəl(añiul),anual
annually,ˈænjʊəlɪ,anualmente
anonymous,əˈnɒnɪmés,anónimo
another,əˈnʌðəʳ,otro
answer,Anser,"Respuesta, responder"
anticipate,ænˈtɪsɪpeɪt,anticipar
anxiety,æŋˈzaɪətɪ,ansiedad
anxious,ˈæŋkʃəs,ansioso
any,ˈenɪ,"Algún, cualquiera"
anybody,enibadi,cualquiera
anymore,enɪˈmɔːʳ,Nunca más
anyone,enɪwʌn,Nadie; cualquiera
anything,enɪθɪŋ,"Nada, alguna cosa"
anyway,ˈenɪweɪ,De todos modos
anywhere,ˈenɪwɛəʳ,Cualquier lugar
apart,əˈpɑːt,separado
apartment,əˈpɑːtmənt,apartamento
apologize,əˈpɒlədʒaɪz,disculparse
apparent,əˈpærənt,"Evidente, aparente"
apparently,əˈpærənt-lɪ,aparentemente
appeal,əˈpiːl,"Atraer, tener atractivo; apelar"
appear,əˈpɪəʳ,"Aparecer, parecer"
appearance,əˈpɪərəns,apariencia
apple,ˈæpl,manzana
application,æplɪˈkeɪʃən,aplicación
apply,əˈplaɪ,aplicar
appoint,əˈpɔɪnt,"Asignar, nombrar"
appointment,əˈpɔɪntmənt,"Cita, hora; puesto"
